Alt Kategori,Marka,Model,Motor/Seri,Donanım/Paket
Araç,Abarth,500e,500e,
Araç,Acura,CL,2.2,
Araç,Acura,CL,2.3,
Araç,Acura,CL,3.0,
Araç,Acura,MDX,3.0,
Araç,Acura,MDX,3.5,
Araç,Acura,MDX,3.7,
Araç,Acura,RL,3.5,
Araç,Acura,RSX,Type-S,
Araç,Acura,TL,3.2 VTEC,
Araç,Acura,Vigor,GS,
Araç,Acura,Vigor,LS,
Araç,Aion,,,
Araç,Alfa Romeo,Giulia,2.0,Competizione
Araç,Alfa Romeo,Giulia,2.0,Lusso
Araç,Alfa Romeo,Giulia,2.0,Super
Araç,Alfa Romeo,Giulia,2.0,Veloce
Araç,Alfa Romeo,Giulia,2.0 T,Estrema
Araç,Alfa Romeo,Giulia,2.0 T,Sprint
Araç,Alfa Romeo,Giulia,2.0 T,Veloce
Araç,Alfa Romeo,Giulia Quadrifoglio,2.9,
Araç,Alfa Romeo,Giulietta,1.4 TB,Distinctive
Araç,Alfa Romeo,Giulietta,1.4 TB,MultiAir Distinctive
Araç,Alfa Romeo,Giulietta,1.4 TB,MultiAir Progression Pluse
Araç,Alfa Romeo,Giulietta,1.4 TB,MultiAir Super TCT
Araç,Alfa Romeo,Giulietta,1.4 TB,Progression Plus
Araç,Alfa Romeo,Giulietta,1.6 JTD,Distinctive
Araç,Alfa Romeo,Giulietta,1.6 JTD,Giulietta
Araç,Alfa Romeo,Giulietta,1.6 JTD,Progression
Araç,Alfa Romeo,Giulietta,1.6 JTD,Progression Plus
Araç,Alfa Romeo,Giulietta,1.6 JTD,Sprint
Araç,Alfa Romeo,Giulietta,1.6 JTD,Super
Araç,Alfa Romeo,Giulietta,1.6 JTD,Super TCT
Araç,Alfa Romeo,Giulietta,1.6 JTD,TI
Araç,Alfa Romeo,Giulietta,1.75 TBI,Quadrifoglio Verde
Araç,Alfa Romeo,Giulietta,1.8 TBI,Quadrifoglio Verde
Araç,Alfa Romeo,Giulietta,1.8 TBI,Veloce
Araç,Alfa Romeo,145,1.4,1.4
Araç,Alfa Romeo,145,1.4,TS STD
Araç,Alfa Romeo,145,1.6,1.6
Araç,Alfa Romeo,145,1.6,L
Araç,Alfa Romeo,145,1.6,TS
Araç,Alfa Romeo,145,1.6,TS L
Araç,Alfa Romeo,145,1.6,TS Sportivo
Araç,Alfa Romeo,145,1.7,
Araç,Alfa Romeo,145,2.0,Quadrifoglio
Araç,Alfa Romeo,145,2.0,TS QV
Araç,Alfa Romeo,146,1.4,TS
Araç,Alfa Romeo,146,1.4,TS Ritmo
Araç,Alfa Romeo,146,1.6,L
Araç,Alfa Romeo,146,1.6,TS
Araç,Alfa Romeo,146,1.7,
Araç,Alfa Romeo,146,2.0 Ti,
Araç,Alfa Romeo,147,1.6 TS,Black Line
Araç,Alfa Romeo,147,1.6 TS,Collezione
Araç,Alfa Romeo,147,1.6 TS,Distinctive
Araç,Alfa Romeo,147,1.6 TS,Progression
Araç,Alfa Romeo,147,1.9,JTD Q2
Araç,Alfa Romeo,147,2.0 TS,Distinctive
Araç,Alfa Romeo,147,2.0 TS,Selespeed Black Line
Araç,Alfa Romeo,147,2.0 TS,Selespeed Distinctive
Araç,Alfa Romeo,147,3.2,GTA
Araç,Alfa Romeo,155,2.0,Q4
Araç,Alfa Romeo,155,2.0,TS
Araç,Alfa Romeo,155,2.0,TS Sport
Araç,Alfa Romeo,155,2.0,TS Super Losso
Araç,Alfa Romeo,156,1.6 TS,1.6 TS
Araç,Alfa Romeo,156,1.6 TS,Distinctive
Araç,Alfa Romeo,156,1.6 TS,Progression
Araç,Alfa Romeo,156,1.8 TS,Distinctive
Araç,Alfa Romeo,156,1.9 JTD,Impression
Araç,Alfa Romeo,156,1.9 JTD,Sportwagon
Araç,Alfa Romeo,156,2.0 JTS,Distinctive
Araç,Alfa Romeo,156,2.0 TS,2.0 TS
Araç,Alfa Romeo,156,2.0 TS,Distinctive
Araç,Alfa Romeo,156,2.0 TS,Executive
Araç,Alfa Romeo,156,2.0 TS,Selespeed
Araç,Alfa Romeo,156,2.4 JTD,2.4 JTD
Araç,Alfa Romeo,156,2.4 JTD,Distinctive
Araç,Alfa Romeo,156,2.4 JTD,Progression
Araç,Alfa Romeo,156,2.5,2.5
Araç,Alfa Romeo,156,2.5,Distinctive
Araç,Alfa Romeo,159,1.8 MPI,Distinctive
Araç,Alfa Romeo,159,1.8 MPI,Distinctive Plus
Araç,Alfa Romeo,159,1.8 TBI,Distinctive
Araç,Alfa Romeo,159,1.8 TBI,Distinctive Plus
Araç,Alfa Romeo,159,1.9 JTD,Distinctive
Araç,Alfa Romeo,159,1.9 JTD,Distinctive Plus
Araç,Alfa Romeo,159,1.9 JTD,Progression
Araç,Alfa Romeo,159,1.9 JTS,Distinctive
