Marka,Model,Motor/Seri,Donanım/Paket
Citroen,AMI,Ami Buggy,
Citroen,AMI,Electric,
Citroen,AMI,Peps,
Citroen,AMI,POP,
Citroen,AMI,Tonic,
Citroen,AX,1.0,E
Citroen,AX,1.0,Sport
Citroen,AX,1.1,Caban
Citroen,AX,1.1,First
Citroen,AX,1.1,Hit
Citroen,AX,1.1,Sport
Citroen,AX,1.4,Furio
Citroen,AX,1.4,GT
Citroen,AX,1.5,TD
Citroen,Berlingo,1.2 PureTech Feel,
Citroen,Berlingo,1.4 Multispace,
Citroen,Berlingo,1.4 SX,
Citroen,Berlingo,1.4 X,
Citroen,Berlingo,1.4,
Citroen,Berlingo,1.5 BlueHDI Feel Bold,
Citroen,Berlingo,1.5 BlueHDI Feel Stil,
Citroen,Berlingo,1.5 BlueHDI Feel,
Citroen,Berlingo,1.5 BlueHDI Max,
Citroen,Berlingo,1.5 BlueHDI Plus,
Citroen,Berlingo,1.5 BlueHDI Shine Bold,
Citroen,Berlingo,1.5 BlueHDI Shine,
Citroen,Berlingo,1.5 BlueHDI You,
Citroen,Berlingo,1.5 BlueHDI,
Citroen,Berlingo,1.6 BlueHDI Feel,
Citroen,Berlingo,1.6 BlueHDI Maxi,
Citroen,Berlingo,1.6 BlueHDI Selection Adventure Pack,
Citroen,Berlingo,1.6 BlueHDI Selection,
Citroen,Berlingo,1.6 BlueHDI Shine,
Citroen,Berlingo,1.6 BlueHDI SX Adventure Pack,
Citroen,Berlingo,1.6 BlueHDI,
Citroen,Berlingo,1.6 Feeling,
Citroen,Berlingo,1.6 HDi Combi Silverline,
Citroen,Berlingo,1.6 HDi Combi SX,
Citroen,Berlingo,1.6 HDi Combi X,
Citroen,Berlingo,1.6 HDi Combi,
Citroen,Berlingo,1.6 HDi Family,
Citroen,Berlingo,1.6 HDi Maxi,
Citroen,Berlingo,1.6 HDi Multispace,
Citroen,Berlingo,1.6 HDi Selection,
Citroen,Berlingo,1.6 HDi SX,
Citroen,Berlingo,1.6 HDi X,
Citroen,Berlingo,1.6 SX,
Citroen,Berlingo,1.8 SX,
Citroen,Berlingo,1.9 D Combi X,
Citroen,Berlingo,1.9 D FG,
Citroen,Berlingo,1.9 D Multispace,
Citroen,Berlingo,1.9 D SX,
Citroen,Berlingo,1.9 D X,
Citroen,Berlingo,1.9 D,
Citroen,Berlingo,2.0 HDi Combi X,
Citroen,Berlingo,2.0 HDi Feeling,
Citroen,Berlingo,2.0 HDi Multispace,
Citroen,Berlingo,2.0 HDi SX,
Citroen,Berlingo,2.0 HDi,
Citroen,BX,14,TE
Citroen,BX,14,TGE
Citroen,BX,15,TGE
Citroen,BX,16,Millesime
Citroen,BX,16,RI
Citroen,BX,16,TRS
Citroen,BX,17,TGD
Citroen,BX,19,TGD
Citroen,BX,19,TRD
Citroen,C-Elysée,1.2 VTi,Attraction
Citroen,C-Elysée,1.2 VTi,Confort
Citroen,C-Elysée,1.2 VTi,Exclusive
Citroen,C-Elysée,1.2,Live
Citroen,C-Elysée,1.5 BlueHDI,Feel
Citroen,C-Elysée,1.5 BlueHDI,Feel Bold
Citroen,C-Elysée,1.5 BlueHDI,Live
Citroen,C-Elysée,1.5 BlueHDI,Shine
Citroen,C-Elysée,1.6 BlueHDI,Feel
Citroen,C-Elysée,1.6 BlueHDI,Live
Citroen,C-Elysée,1.6 BlueHDI,Shine
Citroen,C-Elysée,1.6 HDi,Attraction
Citroen,C-Elysée,1.6 HDi,Confort
Citroen,C-Elysée,1.6 HDi,Exclusive
Citroen,C-Elysée,1.6 HDi,Feel
Citroen,C-Elysée,1.6 HDi,Live
Citroen,C-Elysée,1.6 HDi,Shine
Citroen,C-Elysée,1.6 VTi,Exclusive
Citroen,C1,1.0 VTi,Airscape
Citroen,C1,1.0 VTi,Feel
Citroen,C1,1.0 VTi,Shine
Citroen,C1,1.0,Confort
Citroen,C1,1.0,SX
Citroen,C1,1.0,SX Sensodrive
Citroen,C1,1.4 HDi,SX
Citroen,C15,C15 D Familiale,
Citroen,C15,C15 D,
Citroen,C15,C15 E 040,
Citroen,C15,C15 E,
Citroen,C2,1.1,X
Citroen,C2,1.4 HDi,SX
Citroen,C2,1.4 HDi,Tonic
Citroen,C2,1.4 HDi,VTR
Citroen,C2,1.4 HDi,X
Citroen,C2,1.4 HDi,X Pack
Citroen,C2,1.4,SX
Citroen,C2,1.4,X Pack
Citroen,C2,1.6,GT
Citroen,C2,1.6,VTR
Citroen,C2,1.6,VTS
Citroen,C25,1000,
Citroen,C25,1400,
Citroen,C25,1800,
Citroen,C25,2.0,
Citroen,C3 AirCross Elektrik,Max,
Citroen,C3 AirCross,1.2 Hybrid,Max
Citroen,C3 AirCross,1.2 Hybrid,Plus
Citroen,C3 AirCross,1.2 PureTech,Exclusive
Citroen,C3 AirCross,1.2 PureTech,Feel
Citroen,C3 AirCross,1.2 PureTech,Feel Bold
Citroen,C3 AirCross,1.2 PureTech,Feel Business
Citroen,C3 AirCross,1.2 PureTech,Feel S Edition
Citroen,C3 AirCross,1.2 PureTech,Live
Citroen,C3 AirCross,1.2 PureTech,Shine
Citroen,C3 AirCross,1.5 BlueHDi,Exclusive
Citroen,C3 AirCross,1.5 BlueHDi,Exclusive Business
Citroen,C3 AirCross,1.5 BlueHDi,Feel
Citroen,C3 AirCross,1.5 BlueHDi,Feel Bold
Citroen,C3 AirCross,1.5 BlueHDi,Live Plus
Citroen,C3 AirCross,1.5 BlueHDi,Shine
Citroen,C3 AirCross,1.6 BlueHDi,Feel
Citroen,C3 AirCross,1.6 BlueHDi,Shine
Citroen,C3 Picasso,1.4,SX
Citroen,C3 Picasso,1.6 e-HDi,Confort
Citroen,C3 Picasso,1.6 HDi,Confort
Citroen,C3 Picasso,1.6 HDi,SX
Citroen,C3 Picasso,1.6 HDi,X
Citroen,C3,1.1,SX
Citroen,C3,1.1,X
Citroen,C3,1.2 PureTech,Elle
Citroen,C3,1.2 PureTech,Feel
Citroen,C3,1.2 PureTech,Feel Adventure
Citroen,C3,1.2 PureTech,Feel Bold
Citroen,C3,1.2 PureTech,Feel Business
Citroen,C3,1.2 PureTech,Feel S Edition
Citroen,C3,1.2 PureTech,Live
Citroen,C3,1.2 PureTech,Selection
Citroen,C3,1.2 PureTech,Shine
Citroen,C3,1.2 PureTech,Shine Business
Citroen,C3,1.2 PureTech,Shine S Edition
Citroen,C3,1.2 PureTech,Shine SX Edition
Citroen,C3,1.2 VTi,Cool
Citroen,C3,1.4 e-HDi,Confort
Citroen,C3,1.4 HDi,Attraction
Citroen,C3,1.4 HDi,Collection
