Alt Kategori,Marka,Model,Motor/Seri,Donanım/Paket
Deniz Araçları,,Tam Takim Voli Teknesi 270hp Cummis Gunes Paneli Eksiksiz,,
Deniz Araçları,,Dengeli Ferah Surat Teknesi,,
Deniz Araçları,,Ahsap Tekne,,
Deniz Araçları,,Temiz Aileden,,
Deniz Araçları,,Auto Turguttan Yerliyurt 460 Tekne,,
Deniz Araçları,,Satilik Motoryat,,
Deniz Araçları,,Satilik Fiber Motoryat,,
Deniz Araçları,,Sifir Remixon Bot Ve Sifir Minn Kota Motor,,
Deniz Araçları,,Ahsap Liman Kayitli,,
Deniz Araçları,,Fresun 270 Ahsap Taban 4 Hp Motoru Ile Birlikte,,
