category,brand,model,series,trim
"Otomobil","Alfa Romeo","145","1.4","1.4"
"Otomobil","Alfa Romeo","145","1.4","TS STD"
"Otomobil","Alfa Romeo","145","1.6","1.6"
"Otomobil","Alfa Romeo","145","1.6","TS SPORTIVO"
"Otomobil","Alfa Romeo","145","1.7","1.7"
"Otomobil","Alfa Romeo","146","1.4","TS"
"Otomobil","Alfa Romeo","146","1.4","TS RITMO"
"Otomobil","Alfa Romeo","146","1.6","TS"
"Otomobil","Alfa Romeo","147","1.6 TS","BLACK LINE"
"Otomobil","Alfa Romeo","147","1.6 TS","DISTINCTIVE"
"Otomobil","Alfa Romeo","147","1.6 TS","PROGRESSION"
"Otomobil","Alfa Romeo","155","2.0","TS SPORT"
"Otomobil","Alfa Romeo","156","1.6 TS","1.6 TS"
"Otomobil","Alfa Romeo","156","1.6 TS","DISTINCTIVE"
"Otomobil","Alfa Romeo","156","1.6 TS","PROGRESSION"
"Otomobil","Alfa Romeo","156","1.9 JTD","1.9 JTD IMPRESSION"
"Otomobil","Alfa Romeo","156","1.9 JTD Impression","1.9 JTD IMPRESSION"
"Otomobil","Alfa Romeo","156","2.0 JTS Distinctive","2.0 JTS DISTINCTIVE"
"Otomobil","Alfa Romeo","156","2.0 TS","2.0 TS"
"Otomobil","Alfa Romeo","156","2.0 TS","DISTINCTIVE"
"Otomobil","Alfa Romeo","156","2.0 TS","EXECUTIVE"
"Otomobil","Alfa Romeo","156","2.0 TS","SELESPEED"
"Otomobil","Alfa Romeo","156","2.4 JTD","2.4 JTD"
"Otomobil","Alfa Romeo","159","1.9 JTD","DISTINCTIVE"
"Otomobil","Alfa Romeo","159","1.9 JTD","DISTINCTIVE PLUS"
"Otomobil","Alfa Romeo","159","1.9 JTS","DISTINCTIVE"
"Otomobil","Alfa Romeo","159","1.9 JTS","DISTINCTIVE PLUS"
"Otomobil","Alfa Romeo","159","1.9 JTS","PROGRESSION"
"Otomobil","Alfa Romeo","166","2.0","TS DISTINCTIVE"
"Otomobil","Alfa Romeo","Brera","3.2","JTS Q4 SKY WINDOW"
"Otomobil","Alfa Romeo","Giulia","2.0 T","SPRINT"
"Otomobil","Alfa Romeo","Giulia","2.0 T","VELOCE"
"Otomobil","Alfa Romeo","Giulietta","1.4 TB","DISTINCTIVE"
"Otomobil","Alfa Romeo","Giulietta","1.4 TB","MULTIAIR DISTINCTIVE"
"Otomobil","Alfa Romeo","Giulietta","1.4 TB","MULTIAIR PROGRESSION PLUSE"
"Otomobil","Alfa Romeo","Giulietta","1.4 TB","MULTIAIR SUPER TCT"
"Otomobil","Alfa Romeo","Giulietta","1.4 TB","PROGRESSION PLUS"
"Otomobil","Alfa Romeo","Giulietta","1.6 JTD","DISTINCTIVE"
"Otomobil","Alfa Romeo","Giulietta","1.6 JTD","PROGRESSION"
"Otomobil","Alfa Romeo","Giulietta","1.6 JTD","PROGRESSION PLUS"
"Otomobil","Alfa Romeo","Giulietta","1.6 JTD","SPRINT"
"Otomobil","Alfa Romeo","Giulietta","1.6 JTD","SUPER"
"Otomobil","Alfa Romeo","Giulietta","1.6 JTD","SUPER TCT"
"Otomobil","Alfa Romeo","Giulietta","1.6 JTDM-2","PROGRESSION"
"Otomobil","Alfa Romeo","Giulietta","1.6 JTDM-2","SPRINT"
"Otomobil","Alfa Romeo","Giulietta","1.6 JTDM-2","SUPER"
"Otomobil","Alfa Romeo","Giulietta","1.75 TBi","QUADRIFOGLIO VERDE"
"Otomobil","Alfa Romeo","GT","2.0 JTS","DISTINCTIVE"
"Otomobil","Alfa Romeo","GTV","2.0 TB","2.0 TB"
"Otomobil","Alfa Romeo","MiTo","1.4 T","DISTINCTIVE"
"Otomobil","Alfa Romeo","MiTo","1.4 T","MULTIAIR"
"Otomobil","Alfa Romeo","MiTo","1.4 T","MULTIAIR QUADRIFOGLIO VERDE"
"Otomobil","Alfa Romeo","MiTo","1.4 T","PROGRESSION"
"Otomobil","Arora","S1","",""
"Otomobil","Aston Martin","DB7","Volante","VOLANTE"
"Otomobil","Aston Martin","Rapide","V12 Rapide S","V12 RAPIDE S"
"Otomobil","Aston Martin","Vanquish","V12",""
"Otomobil","Aston Martin","Vantage","V8 Vantage",""
"Otomobil","Aston Martin","Vantage","V8 Vantage Roadster","V8 VANTAGE ROADSTER"
"Otomobil","Audi","A1","1.4 TFSI","AMBITION"
"Otomobil","Audi","A1","1.4 TFSI","ATTRACTION"
"Otomobil","Audi","A1","1.6 TDI","1.6 TDI SPORTBACK"
"Otomobil","Audi","A1","1.6 TDI","AMBITION"
"Otomobil","Audi","A1","1.6 TDI","ATTRACTION"
"Otomobil","Audi","A1","1.6 TDI","SPORT"
"Otomobil","Audi","A1","1.6 TDI Sportback","AMBITION"
"Otomobil","Audi","A1","1.6 TDI Sportback","ATTRACTION"
"Otomobil","Audi","A1","1.6 TDI Sportback","SPORT"
"Otomobil","Audi","E-Tron","E-Tron GT","GT QUATTRO"
"Otomobil","Audi","E-Tron","E-Tron GT","GT RS"
"Otomobil","Audi","E-Tron GT","GT Quattro","GT QUATTRO"
"Otomobil","Audi","E-Tron GT","GT RS","GT RS"
"Otomobil","Audi","TTS","2.0 TFSI","QUATTRO"
"Otomobil","Audi","A2","1.4","1.4"
"Otomobil","Audi","A3","A3 Sportback","1.0 TFSI"
"Otomobil","Audi","A3","A3 Sportback","1.2 TFSI"
"Otomobil","Audi","A3","A3 Sportback","1.4 TFSI"
