categorySlug,categoryName,subcategorySlug,subcategoryName,attributeId,attributeSlug,attributeName,type,required,order,showInRequest,showInOffer,showInRequest_new,showInOffer_new
emlak,EMLAK,konut-satilik-daire,Konut Satilik Dai̇re,cmkbigdif0007z6153uv0wzbo,metrekare-net,Metrekare (Net),range-number,false,1,true,true,true,true
emlak,EMLAK,konut-satilik-daire,Konut Satilik Dai̇re,cmkbigdik0009z615x15nunjr,oda-sayisi,Oda Sayısı,select,false,2,true,true,true,true
emlak,EMLAK,konut-satilik-daire,Konut Satilik Dai̇re,cmkbigdis000bz61594qhkq5f,bina-yasi,Bina Yaşı,select,false,3,true,true,true,true
emlak,EMLAK,konut-satilik-daire,Konut Satilik Dai̇re,cmkbigdiw000dz615ywuoywen,bulundugu-kat,Bulunduğu Kat,select,false,4,true,true,true,true
emlak,EMLAK,konut-satilik-daire,Konut Satilik Dai̇re,cmkbigdj0000fz615056fhp2f,kat-sayisi,Kat Sayısı,number,false,5,true,true,true,true
emlak,EMLAK,konut-satilik-daire,Konut Satilik Dai̇re,cmkbigdj6000hz6159lcyyxtj,isitma,Isıtma,select,false,6,true,true,true,true
emlak,EMLAK,konut-satilik-daire,Konut Satilik Dai̇re,cmkbigdj8000jz615xywlh4o2,asansor,Asansör,boolean,false,7,true,true,true,true
emlak,EMLAK,konut-satilik-daire,Konut Satilik Dai̇re,cmkbigdja000lz615q6h3yqan,otopark,Otopark,select,false,8,true,true,true,true
emlak,EMLAK,konut-satilik-daire,Konut Satilik Dai̇re,cmkbigdjc000nz615fpmrtsd5,kullanim-durumu,Kullanım Durumu,select,false,9,true,true,true,true
emlak,EMLAK,konut-satilik-daire,Konut Satilik Dai̇re,cmkbigdje000pz615qegyn68r,site-icerisinde,Site İçerisinde,boolean,false,10,true,true,true,true
emlak,EMLAK,konut-satilik-daire,Konut Satilik Dai̇re,cmkbigdjg000rz615hsmxabf1,tapu-durumu,Tapu Durumu,select,false,11,true,true,true,true
emlak,EMLAK,konut-satilik-daire,Konut Satilik Dai̇re,cmkbigdjh000tz6151wkgdn1g,takasli,Takaslı,boolean,false,12,true,true,true,true
emlak,EMLAK,konut-satilik-rezidans,Konut Satilik Rezi̇dans,cmkbigdjn000xz615lcy15tyc,metrekare-net,Metrekare (Net),range-number,false,1,true,true,true,true
emlak,EMLAK,konut-satilik-rezidans,Konut Satilik Rezi̇dans,cmkbigdjp000zz6150cdbgvv2,oda-sayisi,Oda Sayısı,select,false,2,true,true,true,true
emlak,EMLAK,konut-satilik-rezidans,Konut Satilik Rezi̇dans,cmkbigdjr0011z61564u5lf6q,bina-yasi,Bina Yaşı,select,false,3,true,true,true,true
emlak,EMLAK,konut-satilik-rezidans,Konut Satilik Rezi̇dans,cmkbigdk40013z6154bx3qcy0,bulundugu-kat,Bulunduğu Kat,select,false,4,true,true,true,true
emlak,EMLAK,konut-satilik-rezidans,Konut Satilik Rezi̇dans,cmkbigdkc0015z615ixd9of9i,kat-sayisi,Kat Sayısı,number,false,5,true,true,true,true
emlak,EMLAK,konut-satilik-rezidans,Konut Satilik Rezi̇dans,cmkbigdkf0017z615zmpinvl6,isitma,Isıtma,select,false,6,true,true,true,true
emlak,EMLAK,konut-satilik-rezidans,Konut Satilik Rezi̇dans,cmkbigdkj0019z615tsclh6bx,asansor,Asansör,boolean,false,7,true,true,true,true
emlak,EMLAK,konut-satilik-rezidans,Konut Satilik Rezi̇dans,cmkbigdkk001bz615ajeen4va,otopark,Otopark,select,false,8,true,true,true,true
emlak,EMLAK,konut-satilik-rezidans,Konut Satilik Rezi̇dans,cmkbigdkn001dz615a4wvslut,kullanim-durumu,Kullanım Durumu,select,false,9,true,true,true,true
emlak,EMLAK,konut-satilik-rezidans,Konut Satilik Rezi̇dans,cmkbigdkp001fz61501uv3lxc,site-icerisinde,Site İçerisinde,boolean,false,10,true,true,true,true
emlak,EMLAK,konut-satilik-rezidans,Konut Satilik Rezi̇dans,cmkbigdkr001hz615f0r4chbu,tapu-durumu,Tapu Durumu,select,false,11,true,true,true,true
emlak,EMLAK,konut-satilik-rezidans,Konut Satilik Rezi̇dans,cmkbigdks001jz6153fsy5orj,takasli,Takaslı,boolean,false,12,true,true,true,true
emlak,EMLAK,konut-satilik-mustakil-ev,Konut Satilik Müstaki̇l Ev,cmkbigdkw001nz615wdyis3xv,metrekare-net,Metrekare (Net),range-number,false,1,true,true,true,true
emlak,EMLAK,konut-satilik-mustakil-ev,Konut Satilik Müstaki̇l Ev,cmkbigdky001pz6154gmy9l2e,oda-sayisi,Oda Sayısı,select,false,2,true,true,true,true
emlak,EMLAK,konut-satilik-mustakil-ev,Konut Satilik Müstaki̇l Ev,cmkbigdl5001rz615edb0q45b,bina-yasi,Bina Yaşı,select,false,3,true,true,true,true
emlak,EMLAK,konut-satilik-mustakil-ev,Konut Satilik Müstaki̇l Ev,cmkbigdl8001tz615txayusif,bulundugu-kat,Bulunduğu Kat,select,false,4,true,true,true,true
emlak,EMLAK,konut-satilik-mustakil-ev,Konut Satilik Müstaki̇l Ev,cmkbigdla001vz615hdx8l3dt,kat-sayisi,Kat Sayısı,number,false,5,true,true,true,true
emlak,EMLAK,konut-satilik-mustakil-ev,Konut Satilik Müstaki̇l Ev,cmkbigdlc001xz615f1r9lrm7,isitma,Isıtma,select,false,6,true,true,true,true
emlak,EMLAK,konut-satilik-mustakil-ev,Konut Satilik Müstaki̇l Ev,cmkbigdld001zz615pnuct7ov,asansor,Asansör,boolean,false,7,true,true,true,true
emlak,EMLAK,konut-satilik-mustakil-ev,Konut Satilik Müstaki̇l Ev,cmkbigdle0021z6158bj8o8pa,otopark,Otopark,select,false,8,true,true,true,true
emlak,EMLAK,konut-satilik-mustakil-ev,Konut Satilik Müstaki̇l Ev,cmkbigdlf0023z615y06e9auf,kullanim-durumu,Kullanım Durumu,select,false,9,true,true,true,true
emlak,EMLAK,konut-satilik-mustakil-ev,Konut Satilik Müstaki̇l Ev,cmkbigdlh0025z6158epnnvw6,site-icerisinde,Site İçerisinde,boolean,false,10,true,true,true,true
emlak,EMLAK,konut-satilik-mustakil-ev,Konut Satilik Müstaki̇l Ev,cmkbigdli0027z615tcb27e26,tapu-durumu,Tapu Durumu,select,false,11,true,true,true,true
emlak,EMLAK,konut-satilik-mustakil-ev,Konut Satilik Müstaki̇l Ev,cmkbigdlj0029z615zc74gl99,takasli,Takaslı,boolean,false,12,true,true,true,true
emlak,EMLAK,konut-satilik-villa,Konut Satilik Vi̇lla,cmkbigdlp002dz615jjorf8pj,metrekare-net,Metrekare (Net),range-number,false,1,true,true,true,true
emlak,EMLAK,konut-satilik-villa,Konut Satilik Vi̇lla,cmkbigdlv002fz6156w2g2o4p,oda-sayisi,Oda Sayısı,select,false,2,true,true,true,true
emlak,EMLAK,konut-satilik-villa,Konut Satilik Vi̇lla,cmkbigdm2002hz615wuv9jc1t,bina-yasi,Bina Yaşı,select,false,3,true,true,true,true
emlak,EMLAK,konut-satilik-villa,Konut Satilik Vi̇lla,cmkbigdm7002jz61571tlt9m2,bulundugu-kat,Bulunduğu Kat,select,false,4,true,true,true,true
emlak,EMLAK,konut-satilik-villa,Konut Satilik Vi̇lla,cmkbigdma002lz615qdn4bjcd,kat-sayisi,Kat Sayısı,number,false,5,true,true,true,true
emlak,EMLAK,konut-satilik-villa,Konut Satilik Vi̇lla,cmkbigdmc002nz615z5kvywze,isitma,Isıtma,select,false,6,true,true,true,true
emlak,EMLAK,konut-satilik-villa,Konut Satilik Vi̇lla,cmkbigdmi002pz615t8afafxs,asansor,Asansör,boolean,false,7,true,true,true,true
emlak,EMLAK,konut-satilik-villa,Konut Satilik Vi̇lla,cmkbigdmk002rz615iyhw4q98,otopark,Otopark,select,false,8,true,true,true,true
emlak,EMLAK,konut-satilik-villa,Konut Satilik Vi̇lla,cmkbigdmm002tz615qtupd15p,kullanim-durumu,Kullanım Durumu,select,false,9,true,true,true,true
emlak,EMLAK,konut-satilik-villa,Konut Satilik Vi̇lla,cmkbigdmo002vz615zpdr0kva,site-icerisinde,Site İçerisinde,boolean,false,10,true,true,true,true
emlak,EMLAK,konut-satilik-villa,Konut Satilik Vi̇lla,cmkbigdmq002xz615lrvrml8l,tapu-durumu,Tapu Durumu,select,false,11,true,true,true,true
emlak,EMLAK,konut-satilik-villa,Konut Satilik Vi̇lla,cmkbigdms002zz6150s9o1qv7,takasli,Takaslı,boolean,false,12,true,true,true,true
emlak,EMLAK,konut-satilik-ciflik-evi,Konut Satilik Çi̇fli̇k Evi̇,cmkbigdmx0033z615ydcobdor,arazi-m2,Arazi M2,number,false,1,true,true,true,true
emlak,EMLAK,konut-satilik-ciflik-evi,Konut Satilik Çi̇fli̇k Evi̇,cmkbigdn00035z615pwdck8ew,oda-sayisi,Oda Sayısı,select,false,2,true,true,true,true
emlak,EMLAK,konut-satilik-ciflik-evi,Konut Satilik Çi̇fli̇k Evi̇,cmkbigdn20037z6153c87pl37,bina-yasi,Bina Yaşı,select,false,3,true,true,true,true
emlak,EMLAK,konut-satilik-ciflik-evi,Konut Satilik Çi̇fli̇k Evi̇,cmkbigdn60039z615y7tvrfpp,bulundugu-kat,Bulunduğu Kat,select,false,4,true,true,true,true
emlak,EMLAK,konut-satilik-ciflik-evi,Konut Satilik Çi̇fli̇k Evi̇,cmkbigdn8003bz61512sr6nmn,kat-sayisi,Kat Sayısı,number,false,5,true,true,true,true
emlak,EMLAK,konut-satilik-ciflik-evi,Konut Satilik Çi̇fli̇k Evi̇,cmkbigdnb003dz615hnfn0zhp,isitma,Isıtma,select,false,6,true,true,true,true
emlak,EMLAK,konut-satilik-ciflik-evi,Konut Satilik Çi̇fli̇k Evi̇,cmkbigdnd003fz615zf9sebhp,asansor,Asansör,boolean,false,7,true,true,true,true
emlak,EMLAK,konut-satilik-ciflik-evi,Konut Satilik Çi̇fli̇k Evi̇,cmkbigdng003hz615jn4blgqh,otopark,Otopark,select,false,8,true,true,true,true
emlak,EMLAK,konut-satilik-ciflik-evi,Konut Satilik Çi̇fli̇k Evi̇,cmkbigdnk003jz615d66gq23j,kullanim-durumu,Kullanım Durumu,select,false,9,true,true,true,true
emlak,EMLAK,konut-satilik-ciflik-evi,Konut Satilik Çi̇fli̇k Evi̇,cmkbigdo3003lz615sd3ieh3w,site-icerisinde,Site İçerisinde,boolean,false,10,true,true,true,true
emlak,EMLAK,konut-satilik-ciflik-evi,Konut Satilik Çi̇fli̇k Evi̇,cmkbigdob003nz615y2dwbwqw,tapu-durumu,Tapu Durumu,select,false,11,true,true,true,true
emlak,EMLAK,konut-satilik-ciflik-evi,Konut Satilik Çi̇fli̇k Evi̇,cmkbigdod003pz615w0g4ta3a,takasli,Takaslı,boolean,false,12,true,true,true,true
emlak,EMLAK,konut-satilik-koskkonak,Konut Satilik Köşk/konak,cmkbigdoj003tz615bqwnhrck,arazi-m2,Arazi M2,number,false,1,true,true,true,true
emlak,EMLAK,konut-satilik-koskkonak,Konut Satilik Köşk/konak,cmkbigdol003vz6150j2pvsfb,oda-sayisi,Oda Sayısı,select,false,2,true,true,true,true
emlak,EMLAK,konut-satilik-koskkonak,Konut Satilik Köşk/konak,cmkbigdon003xz615ekxevdiu,bina-yasi,Bina Yaşı,select,false,3,true,true,true,true
emlak,EMLAK,konut-satilik-koskkonak,Konut Satilik Köşk/konak,cmkbigdoq003zz615rcpyetmo,bulundugu-kat,Bulunduğu Kat,select,false,4,true,true,true,true
emlak,EMLAK,konut-satilik-koskkonak,Konut Satilik Köşk/konak,cmkbigdor0041z615m40fmreh,kat-sayisi,Kat Sayısı,number,false,5,true,true,true,true
emlak,EMLAK,konut-satilik-koskkonak,Konut Satilik Köşk/konak,cmkbigdot0043z615d3lqcijb,isitma,Isıtma,select,false,6,true,true,true,true
emlak,EMLAK,konut-satilik-koskkonak,Konut Satilik Köşk/konak,cmkbigdow0045z615mu9ctvd3,asansor,Asansör,boolean,false,7,true,true,true,true
emlak,EMLAK,konut-satilik-koskkonak,Konut Satilik Köşk/konak,cmkbigdox0047z615o15w8fn6,otopark,Otopark,select,false,8,true,true,true,true
emlak,EMLAK,konut-satilik-koskkonak,Konut Satilik Köşk/konak,cmkbigdoz0049z615d4pzob2b,kullanim-durumu,Kullanım Durumu,select,false,9,true,true,true,true
emlak,EMLAK,konut-satilik-koskkonak,Konut Satilik Köşk/konak,cmkbigdp1004bz615rydt1zxh,site-icerisinde,Site İçerisinde,boolean,false,10,true,true,true,true
emlak,EMLAK,konut-satilik-koskkonak,Konut Satilik Köşk/konak,cmkbigdpa004dz615ksgq2mcp,tapu-durumu,Tapu Durumu,select,false,11,true,true,true,true
emlak,EMLAK,konut-satilik-koskkonak,Konut Satilik Köşk/konak,cmkbigdpr004fz615tgbn2laj,takasli,Takaslı,boolean,false,12,true,true,true,true
emlak,EMLAK,konut-satilik-yali,Konut Satilik Yali,cmkbigdqn004jz615nhcba1ln,mahalle,MAHALLE,text,false,1,true,true,true,true
emlak,EMLAK,konut-satilik-yali,Konut Satilik Yali,cmkbigdqp004lz6151x6x7uto,metrekare-net,Metrekare (Net),range-number,false,2,true,true,true,true
emlak,EMLAK,konut-satilik-yali,Konut Satilik Yali,cmkbigdqr004nz61541mhkctr,oda-sayisi,Oda Sayısı,select,false,3,true,true,true,true
emlak,EMLAK,konut-satilik-yali,Konut Satilik Yali,cmkbigdqt004pz615yt464mtl,bina-yasi,Bina Yaşı,select,false,4,true,true,true,true
emlak,EMLAK,konut-satilik-yali,Konut Satilik Yali,cmkbigdqu004rz6150j46xkx6,bulundugu-kat,Bulunduğu Kat,select,false,5,true,true,true,true
emlak,EMLAK,konut-satilik-yali,Konut Satilik Yali,cmkbigdqw004tz615im6p92l6,kat-sayisi,Kat Sayısı,number,false,6,true,true,true,true
emlak,EMLAK,konut-satilik-yali,Konut Satilik Yali,cmkbigdqx004vz61544beir4x,isitma,Isıtma,select,false,7,true,true,true,true
emlak,EMLAK,konut-satilik-yali,Konut Satilik Yali,cmkbigdqy004xz6151jq66542,asansor,Asansör,boolean,false,8,true,true,true,true
emlak,EMLAK,konut-satilik-yali,Konut Satilik Yali,cmkbigdr0004zz615roxh4gqj,otopark,Otopark,select,false,9,true,true,true,true
emlak,EMLAK,konut-satilik-yali,Konut Satilik Yali,cmkbigdr10051z615ng2nzjk1,kullanim-durumu,Kullanım Durumu,select,false,10,true,true,true,true
emlak,EMLAK,konut-satilik-yali,Konut Satilik Yali,cmkbigdr20053z615la2kn3k3,site-icerisinde,Site İçerisinde,boolean,false,11,true,true,true,true
emlak,EMLAK,konut-satilik-yali,Konut Satilik Yali,cmkbigdr30055z61541xx8s5e,tapu-durumu,Tapu Durumu,select,false,12,true,true,true,true
emlak,EMLAK,konut-satilik-yali,Konut Satilik Yali,cmkbigdr40057z615852q5zij,takasli,Takaslı,boolean,false,13,true,true,true,true
emlak,EMLAK,konut-satilik-yali-dairesi,Konut Satilik Yali Dai̇resi̇,cmkbigdr8005bz6152dasewwn,mahalle,MAHALLE,text,false,1,true,true,true,true
emlak,EMLAK,konut-satilik-yali-dairesi,Konut Satilik Yali Dai̇resi̇,cmkbigdra005dz615d2uvv3lg,metrekare-net,Metrekare (Net),range-number,false,2,true,true,true,true
emlak,EMLAK,konut-satilik-yali-dairesi,Konut Satilik Yali Dai̇resi̇,cmkbigdrb005fz615lwi4qp3a,oda-sayisi,Oda Sayısı,select,false,3,true,true,true,true
emlak,EMLAK,konut-satilik-yali-dairesi,Konut Satilik Yali Dai̇resi̇,cmkbigdre005hz61560euvaol,bina-yasi,Bina Yaşı,select,false,4,true,true,true,true
emlak,EMLAK,konut-satilik-yali-dairesi,Konut Satilik Yali Dai̇resi̇,cmkbigdri005jz6151tph3gtu,bulundugu-kat,Bulunduğu Kat,select,false,5,true,true,true,true
